,Position,Track Name,Artist,Streams,URL,type,week_end_d
0,1,"thank u, next",Ariana Grande,31187542,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,global,2019-01-04
1,2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,30229896,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,global,2019-01-04
2,3,Wow.,Post Malone,29083499,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,global,2019-01-04
3,4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,24784744,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,global,2019-01-04
4,5,Without Me,Halsey,22862806,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,global,2019-01-04
5,6,MIA (feat. Drake),Bad Bunny,20458104,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,global,2019-01-04
6,7,Sweet but Psycho,Ava Max,20271743,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,global,2019-01-04
7,8,SICKO MODE,Travis Scott,18743742,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,global,2019-01-04
8,9,Happier,Marshmello,18596650,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,global,2019-01-04
9,10,Calma - Remix,Pedro Capó,17560600,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,global,2019-01-04
10,11,Adan y Eva,Paulo Londra,16779675,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,global,2019-01-04
11,12,ZEZE,Kodak Black,16760203,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,global,2019-01-04
12,13,Going Bad (feat. Drake),Meek Mill,16204182,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,global,2019-01-04
13,14,High Hopes,Panic! At The Disco,14787522,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,global,2019-01-04
14,15,Shallow,Lady Gaga,13959172,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,global,2019-01-04
15,16,Eastside (with Halsey & Khalid),benny blanco,13551083,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,global,2019-01-04
16,17,Mo Bamba,Sheck Wes,13358031,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,global,2019-01-04
17,18,Girls Like You (feat. Cardi B),Maroon 5,12971076,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,global,2019-01-04
18,19,imagine,Ariana Grande,12846216,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,global,2019-01-04
19,20,Drip Too Hard (Lil Baby & Gunna),Lil Baby,12821151,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,global,2019-01-04
20,21,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,12674714,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,global,2019-01-04
21,22,Better Now,Post Malone,12581757,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,global,2019-01-04
